Global Bindings:
key             binding
ESC             Prefix Command
C-_             undo-tree-undo
C-/             undo-tree-undo
C-?             undo-tree-redo
<remap>         Prefix Command

C-x r           Prefix Command
C-x u           undo-tree-visualize

M-_             undo-tree-redo

<remap> <redo>  undo-tree-redo
<remap> <undo>  undo-tree-undo
<remap> <undo-only>             undo-tree-undo

C-x r U         undo-tree-restore-state-from-register
C-x r u         undo-tree-save-state-to-register


`subword-mode' Minor Mode Bindings:
key             binding
---             -------

<remap>         Prefix Command

<remap> <backward-kill-word>    subword-backward-kill
<remap> <backward-word>         subword-backward
<remap> <capitalize-word>       subword-capitalize
<remap> <downcase-word>         subword-downcase
<remap> <forward-word>          subword-forward
<remap> <kill-word>             subword-kill
<remap> <mark-word>             subword-mark
<remap> <transpose-words>       subword-transpose
<remap> <upcase-word>           subword-upcase


`winner-mode' Minor Mode Bindings:
key             binding
---             -------

C-c             Prefix Command

C-c <left>      winner-undo
C-c <right>     winner-redo


`recentf-mode' Minor Mode Bindings:
key             binding
---             -------


`elisp-slime-nav-mode' Minor Mode Bindings:
key             binding
---             -------

C-c             Prefix Command
ESC             Prefix Command

C-c C-d         Prefix Command

M-,             pop-tag-mark
M-.             elisp-slime-nav-find-elisp-thing-at-point

C-c C-d C-d     elisp-slime-nav-describe-elisp-thing-at-point
C-c C-d d       elisp-slime-nav-describe-elisp-thing-at-point


Major Mode Bindings:
key             binding
---             -------

RET             electrify-return-if-match
ESC             Prefix Command

M-TAB           completion-at-point
C-M-q           indent-pp-sexp
C-M-x           eval-defun




Function key map translations:
key             binding
---             -------

;; Eh? This explains weird behavior I was having...
;; Maybe the shell is generally not as dangerous as I suspected.
C-@             C-SPC

;; Deleted a ton of irrelevant stuff after this about things like
;; <home> keys and such.

C-x @ Prefix Command

C-x @ S         event-apply-shift-modifier
C-x @ a         event-apply-alt-modifier
C-x @ c         event-apply-control-modifier
C-x @ h         event-apply-hyper-modifier
C-x @ m         event-apply-meta-modifier
C-x @ s         event-apply-super-modifier


Input decoding map translations:
